,lang_ge,lang_fr,lang_it,lang_rae,lang_other,rel_prot,rel_romkath,rel_chrkath,rel_jew,rel_other,civil_sgl,civil_mar,civil_wid,civil_div,can_lang_ge,can_lang_fr,can_lang_it,can_lang_rae,can_lang_other,can_rel_prot,can_rel_romkath,can_rel_chrkath,can_rel_jew,can_rel_other,can_civil_sgl,can_civil_mar,can_civil_wid,can_civil_div,mun_name,can_name,district
0,1293,13768,274,13,511,1711,13714,2,3,429,7362,7346,968,18.0,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,LA BROYE,FRIBOURG,1
1,17,309,-,-,-,18,306,-,,2,153,150,20,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2001 AUMONT,FRIBOURG,1
2,1,123,-,-,1,1,123,-,-,1,49,73,3,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2002 AUTAVAUX,FRIBOURG,1
3,2,61,-,-,-,13,49,-,-,1,23,36,3,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2003 BOLLION,FRIBOURG,1
4,4,222,1,-,1,13,213,-,-,2,109,101,17,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2004 BUSSY (FR),FRIBOURG,1
5,29,253,1,-,3,30,251,1,-,4,151,117,17,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2005 CHABLES,FRIBOURG,1
6,19,71,2,-,1,30,59,-,-,4,42,46,5,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2006 CHANDON,FRIBOURG,1
7,7,65,-,-,-,13,57,-,-,2,34,36,2,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2007 CHAPELLE (BROYE),FRIBOURG,1
8,22,105,3,-,4,27,98,-,-,9,56,72,6,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2008 CHATILLON (FR),FRIBOURG,1
9,4,182,-,-,-,15,167,-,-,4,82,89,13,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2009 CHEIRY,FRIBOURG,1
10,30,334,4,5,7,79,266,-,-,35,152,190,29,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2010 CHEYRES,FRIBOURG,1
11,38,670,21,-,24,69,670,-,-,14,326,361,57,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2011 CUGY (FR),FRIBOURG,1
12,13,285,1,-,4,33,263,-,1,6,118,150,30,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2012 DELLEY,FRIBOURG,1
13,85,1357,23,-,44,159,1312,-,,38,661,740,95,1.0,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2013 DOMDIDIER,FRIBOURG,1
14,9,496,1,-,4,30,477,-,,3,233,239,35,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2014 DOMPIERRE (FR),FRIBOURG,1
15,538,2641,141,5,337,469,3090,,1,102,1881,1521,200,6.0,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2015 ESTAVAYER—LE—LAC,FRIBOURG,1
16,10,453,3,-,2,23,440,-,-,5,232,212,21,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2016 FETIGNY,FRIBOURG,1
17,3,188,1,-,-,8,180,-,-,4,80,95,16,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2017 FONT,FRIBOURG,1
18,8,183,3,-,1,9,183,-,-,3,93,88,14,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2018 FOREL (FR),FRIBOURG,1
19,9,36,1,-,-,8,38,-,-,-,24,20,2,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2019 FRANEX,FRIBOURG,1
20,12,96,-,-,-,15,93,,,-,50,54,3,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2020 FRASSES,FRIBOURG,1
21,7,60,-,-,-,13,53,-,,1,32,32,3,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2021 LES FRIQUES,FRIBOURG,1
22,22,181,-,-,-,28,161,-,-,14,86,101,10,,59824,113697,4866,131,6728,25252,154161,67,142,5624,88299,83519,10160,326,2022 GLETTERENS,FRIBOURG,1
