,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,1,2,3,4,5,6,7,8,9,10,11,12
0,ST.GALLEN,84944,39983,44961,70993,32201,38792,13951,7782,6169,836,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
1,3201 HAEGGENSCHWIL,787,419,368,760,406,354,27,13,14,966,3.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
2,3202 MUOLEN,847,452,395,823,435,388,24,17,7,972,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
3,3203 ST.GALLEN,75847,35440,40407,62840,28223,34617,13007,7217,5790,829,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
4,3204 WITTENBACH,7463,3672,3791,6570,3137,3433,893,535,358,880,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
5,RORSCHACH,31479,15490,15989,26240,12632,13608,5239,2858,2381,834,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
6,3211 BERG (SG),648,344,304,605,310,295,43,34,9,934,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
7,3212 EGGERSRIET,1741,895,846,1649,841,808,92,54,38,947,5.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
8,3213 GOLDACH,7940,3909,4031,6785,3289,3496,1155,620,535,855,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
9,3214 MOERSCHWIL,2060,1100,960,1927,1009,918,133,91,42,935,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
10,3215 RORSCHACH,9878,4663,5215,7300,3305,3995,2578,1358,1220,739,26.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
11,3216 RORSCHACHERBERG,5294,2598,2696,4537,2188,2349,757,410,347,857,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
12,3217 STEINACH,2513,1269,1244,2126,1034,1092,387,235,152,846,15.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
13,3218 TUEBACH,845,410,435,766,362,404,79,48,31,907,9.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
14,3219 UNTEREGGEN,560,302,258,545,294,251,15,8,7,973,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
15,UNTERRHEINTAL,33467,16549,16918,27738,13356,14382,5729,3193,2536,829,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
16,3231 AU (SG),5434,2737,2697,4243,2080,2163,1191,657,534,781,21.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
17,3232 BALGACH,3122,1508,1614,2624,1241,1383,498,267,231,840,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
18,3233 BERNECK,2793,1387,1406,2434,1176,1258,359,211,148,871,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
19,3234 DIEPOLDSAU,3562,1749,1813,3184,1539,1645,378,210,168,894,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
20,3235 RHEINECK,3037,1425,1612,2363,1069,1294,674,356,318,778,22.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
21,3236 ST.MARGRETHEN,4935,2418,2517,3933,1842,2091,1002,576,426,797,20.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
22,3237 THAL,4725,2422,2303,4141,2081,2060,584,341,243,876,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
23,3238 WIDNAU,5859,2903,2956,4816,2328,2488,1043,575,468,822,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
24,OBERRHEINTAL,22185,11115,11070,20231,9991,10240,1954,1124,830,912,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
25,3251 ALTSTAETTEN,9260,4549,4711,8265,3993,4272,995,556,439,893,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
26,3252 EICHBERG,719,373,346,692,362,330,27,11,16,962,3.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
27,3253 MARBACH (5G),1382,673,709,1267,607,660,115,66,49,917,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
28,3254 OBERRIET (5G),6222,3220,3002,6001,3069,2932,221,151,70,964,3.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
29,3255 REBSTEIN,3127,1536,1591,2600,1246,1354,527,290,237,831,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
30,3256 RUETHI (RHEINTAL),1475,764,711,1406,714,692,69,50,19,953,4.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
31,WERDENBERG,25808,13008,12800,22817,11248,11569,2991,1760,1231,884,11.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
32,3271 BUCHS (SG),9066,4501,4565,7796,3755,4041,1270,746,524,860,14.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
33,3272 GAMS,2246,1143,1103,2071,1034,1037,175,109,66,922,7.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
34,3273 GRABS,4844,2421,2423,4344,2133,2211,500,288,212,897,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
35,3274 SENNWALD,3121,1677,1444,2897,1545,1352,224,132,92,928,7.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
36,3275 SEVELEN,2839,1434,1405,2487,1217,1270,352,217,135,876,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
37,3276 WARTAU,3692,1832,1860,3222,1564,1658,470,268,202,873,12.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
38,SARGANS,29646,14902,14744,26574,13123,13451,3072,1779,1293,896,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
39,3291 BAD RAGAZ,3721,1754,1967,3286,1513,1773,435,241,194,883,11.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
40,3292 FLUMS,4228,2163,2065,3854,1945,1909,374,218,156,912,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
41,3293 MELS,6235,3154,3081,5724,2863,2861,511,291,220,918,8.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
42,3294 PFAEFERS,1814,982,832,1697,918,779,117,64,53,936,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
43,3295 QUARTEN,2533,1270,1263,2093,1018,1075,440,252,188,826,17.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
44,3296 SARGANS,4267,2084,2183,3832,1819,2013,435,265,170,898,10.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
45,3297 VILTERS,3243,1783,1460,3077,1665,1412,166,118,48,949,5.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
46,3298 WALENSTADT,3605,1712,1893,3011,1382,1629,594,330,264,835,16.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
47,GAST ER,9634,4903,4731,9002,4545,4457,632,358,274,934,6.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
48,3311 AMDEN,1135,543,592,1088,521,567,47,22,25,959,4.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
49,3312 BENKEN (5G),1684,879,805,1636,852,784,48,27,21,971,2.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
50,3313 KALTBRUNN,2735,1470,1265,2417,1280,1137,318,190,128,884,11.0,ST.GALLEN,Unnamed: 1,391995,193522,198473,339941,164025,175916,52054,29497,22557,867,13
