,mun_name,mun_pop,male_pop,fem_pop,swiss_pop,swiss_male,swiss_fem,foreign_pop,foreign_male,foreign_fem,swiss_promille,foreign_promille,can_name,can_population,can_male_pop,can_fem_pop,can_swiss_pop,can_swiss_male,can_swiss_fem,can_foreign_pop,can_foreign_male,can_foreign_fem,can_swiss_promille,can_foreign_promille,district
1,6001 BIRGISCH,181,91,9D,181,91,90,,,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
2,6002 BRIG—GLIS,9608,4684,4924,9133,4426,4707,475,258,217,951,49,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
3,6004 EGGERBERG,355,174,181,354,173,181,1,1,—,997,3,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
4,6006 MUND,618,325,293,618,325,293,,,—,1000,—,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
5,6007 NATERS,6662,3311,3351,6240,3039,3201,422,272,150,937,63,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
6,6008 RIED BEI BRIG,1168,580,588,1132,558,574,36,22,14,969,31,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
7,6009 SIMPLON,328,176,152,323,173,150,5,3,2,985,15,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
8,6010 TERMEN,533,259,274,523,253,270,10,6,4,981,19,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
9,6011 ZWISCHBERGEN,171,88,83,167,86,81,4,2,2,977,23,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
11,6021 ARDON,1636,820,816,1415,695,720,221,125,96,865,135,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
12,6022 CHAMOSON,2094,1017,1077,2006,966,1040,88,51,37,958,42,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
13,6023 CONTHEY,4828,2387,2441,4554,2224,2330,274,163,111,943,57,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
14,6024 NENDAZ,4372,2241,2131,4292,2201,2091,80,40,40,982,18,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
15,6025 VETROZ,2271,1170,1101,2043,1053,990,228,117,111,900,100,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
17,6031 BAGNES,4652,2375,2277,4226,2126,2100,426,249,177,908,92,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
18,6032 BOURG—SAINT—PIERRE,218,109,109,202,102,100,16,7,9,927,73,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
19,6033 LIDDES,639,324,315,634,320,314,5,4,1,992,8,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
20,6034 ORSIERES,2357,1187,1170,2302,1151,1151,55,36,19,977,23,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
21,6035 SEMBRANCHER,671,342,329,656,331,325,15,11,4,978,22,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
22,6036 VOLLEGES,1024,540,484,1015,534,481,9,6,3,991,9,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
24,6051 AUSSERBINN,39,24,15,35,21,14,4,3,1,897,103,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
25,6052 BELLWALD,285,148,137,283,146,137,2,2,—,993,7,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
26,6053 RIFT (VS),59,29,30,56,27,29,3,2,,949,51,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
27,6054 BI0N,162,72,90,162,72,90,—,—,,1000,—,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
28,6055 BLITZINGEN,93,43,50,93,43,50,-,-,,1000,-,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
29,6056 ERNEN,317,158,159,317,158,159,-,-,,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
30,6057 FIESCH,710,374,336,684,363,321,26,11,15,963,37,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
31,6058 FIESCHERTAL,242,131,111,236,127,109,6,4,2,975,25,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
32,6059 GESCHINEN,69,36,33,66,34,32,3,2,1,957,43,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
33,6060 GLURINGEN,131,61,70,131,61,70,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
34,6061 LAX,301,162,139,295,157,138,6,5,1,980,20,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
35,6062 MUEHLEBACH,42,22,20,42,22,20,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
36,6063 MUENSTER (05),417,215,202,409,211,198,8,4,4,981,19,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
37,6064 NIEDERWALD,65,33,32,65,33,32,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
38,6065 OBERGESTELN,205,108,97,205,108,97,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
39,6066 OBERWALD,447,326,121,231,117,114,216,209,7,517,483,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
40,6067 RECKINGEN (VS),350,178,172,349,177,172,1,1,—,997,3,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
41,6068 RITZINGEN,66,35,31,66,35,31,—,—,—,1000,-,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
42,6069 SELKINGEN,70,36,34,70,36,34,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
43,6070 STEINHAUS,26,16,10,26,16,10,—,—,—,1000,,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
44,6071 ULRICHEN,198,106,92,197,105,92,1,1,—,995,5,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
46,6081 LES AGETTES,193,97,96,192,97,95,1,-,1,995,5,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
47,6082 AYENT,2581,1295,1286,2520,1264,1256,61,31,30,976,24,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
48,6083 EVOLENE,1453,723,730,1432,715,717,21,8,13,986,14,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
49,6084 HEREMENCE,1315,627,688,1301,618,683,14,9,5,989,11,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
50,6085 MASE,219,102,117,218,102,116,1,—,1,995,5,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
51,6086 NAX,356,175,181,352,172,180,4,3,1,989,11,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
52,6087 SAINT—MARTIN (VS),1023,516,507,1013,512,501,10,4,6,990,10,VALAIS,218707,108462,110245,198812,97081,101731,19895,11381,8514,909,91,1
